treatment,session,participant,case,group,is_group4,delta,pv,discounted_pv,is_buyout,bid_amount,payment,win_buyout,win_bid,payoff,total_payoff,order,risk_av,time_pref,crt_mean,participant.code
0.6,20230123am,01,1,7,1,1,30,30,0,NA,NA,0,0,0,1467,3,0.935,0.7900974453515933,0.09090909090909091,xbfx8ruz
0.6,20230123am,01,2,7,1,1,100,100,0,NA,NA,0,0,0,1467,4,0.935,0.7900974453515933,0.09090909090909091,xbfx8ruz
0.6,20230123am,01,3,7,1,1,430,430,0,NA,NA,0,0,0,1467,7,0.935,0.7900974453515933,0.09090909090909091,xbfx8ruz
0.6,20230123am,01,4,7,1,1,790,790,1,NA,NA,1,0,50,1467,2,0.935,0.7900974453515933,0.09090909090909091,xbfx8ruz
0.6,20230123am,01,5,7,1,1,980,980,1,NA,NA,1,0,240,1467,11,0.935,0.7900974453515933,0.09090909090909091,xbfx8ruz
0.6,20230123am,01,6,13,0,1,490,490,0,NA,NA,0,0,0,1467,10,0.935,0.7900974453515933,0.09090909090909091,xbfx8ruz
0.6,20230123am,01,7,13,0,1,280,280,0,250,NA,0,0,0,1467,1,0.935,0.7900974453515933,0.09090909090909091,xbfx8ruz
0.6,20230123am,01,8,13,0,1,70,70,0,70,NA,0,0,0,1467,17,0.935,0.7900974453515933,0.09090909090909091,xbfx8ruz
0.6,20230123am,01,9,13,0,1,560,560,0,560,345,0,1,215,1467,14,0.935,0.7900974453515933,0.09090909090909091,xbfx8ruz
0.6,20230123am,01,10,13,0,1,640,640,0,640,160,0,1,480,1467,15,0.935,0.7900974453515933,0.09090909090909091,xbfx8ruz
0.6,20230123am,01,11,7,1,0.6,220,132,0,132,NA,0,0,0,1467,13,0.935,0.7900974453515933,0.09090909090909091,xbfx8ruz
0.6,20230123am,01,12,7,1,0.6,320,192,0,NA,NA,0,0,0,1467,18,0.935,0.7900974453515933,0.09090909090909091,xbfx8ruz
0.6,20230123am,01,13,7,1,0.6,540,324,0,NA,NA,0,0,0,1467,12,0.935,0.7900974453515933,0.09090909090909091,xbfx8ruz
0.6,20230123am,01,14,7,1,0.6,770,462,1,NA,NA,0,0,0,1467,6,0.935,0.7900974453515933,0.09090909090909091,xbfx8ruz
0.6,20230123am,01,15,7,1,0.6,850,510,1,NA,NA,0,0,0,1467,5,0.935,0.7900974453515933,0.09090909090909091,xbfx8ruz
0.6,20230123am,01,16,13,0,0.6,160,96,0,96,NA,0,0,0,1467,9,0.935,0.7900974453515933,0.09090909090909091,xbfx8ruz
0.6,20230123am,01,17,13,0,0.6,350,210,0,NA,NA,0,0,0,1467,20,0.935,0.7900974453515933,0.09090909090909091,xbfx8ruz
0.6,20230123am,01,18,13,0,0.6,910,546,1,NA,NA,1,0,170,1467,16,0.935,0.7900974453515933,0.09090909090909091,xbfx8ruz
0.6,20230123am,01,19,13,0,0.6,610,366,0,366,60,0,1,306,1467,8,0.935,0.7900974453515933,0.09090909090909091,xbfx8ruz
0.6,20230123am,01,20,13,0,0.6,500,300,0,300,294,0,1,6,1467,19,0.935,0.7900974453515933,0.09090909090909091,xbfx8ruz
0.6,20230123am,02,1,7,1,1,430,430,0,NA,NA,0,0,0,1602,3,3.46,0.7900974453515933,0.18181818181818182,i5d0wrx8
0.6,20230123am,02,2,5,1,1,790,790,1,NA,NA,1,0,50,1602,4,3.46,0.7900974453515933,0.18181818181818182,i5d0wrx8
0.6,20230123am,02,3,3,1,1,980,980,1,NA,NA,1,0,240,1602,7,3.46,0.7900974453515933,0.18181818181818182,i5d0wrx8
0.6,20230123am,02,4,2,1,1,30,30,0,NA,NA,0,0,0,1602,2,3.46,0.7900974453515933,0.18181818181818182,i5d0wrx8
0.6,20230123am,02,5,4,1,1,100,100,0,NA,NA,0,0,0,1602,11,3.46,0.7900974453515933,0.18181818181818182,i5d0wrx8
0.6,20230123am,02,6,14,0,1,490,490,0,590,NA,0,0,0,1602,10,3.46,0.7900974453515933,0.18181818181818182,i5d0wrx8
0.6,20230123am,02,7,14,0,1,280,280,0,100,NA,0,0,0,1602,1,3.46,0.7900974453515933,0.18181818181818182,i5d0wrx8
0.6,20230123am,02,8,14,0,1,70,70,0,200,NA,0,0,0,1602,17,3.46,0.7900974453515933,0.18181818181818182,i5d0wrx8
0.6,20230123am,02,9,14,0,1,560,560,0,960,350,0,1,210,1602,14,3.46,0.7900974453515933,0.18181818181818182,i5d0wrx8
0.6,20230123am,02,10,14,0,1,640,640,0,900,160,0,1,480,1602,15,3.46,0.7900974453515933,0.18181818181818182,i5d0wrx8
0.6,20230123am,02,11,5,1,0.6,160,96,0,300,NA,0,0,0,1602,13,3.46,0.7900974453515933,0.18181818181818182,i5d0wrx8
0.6,20230123am,02,12,7,1,0.6,770,462,1,NA,NA,1,0,30,1602,18,3.46,0.7900974453515933,0.18181818181818182,i5d0wrx8
0.6,20230123am,02,13,5,1,0.6,850,510,1,NA,NA,1,0,110,1602,12,3.46,0.7900974453515933,0.18181818181818182,i5d0wrx8
0.6,20230123am,02,14,2,1,0.6,320,192,0,NA,NA,0,0,0,1602,6,3.46,0.7900974453515933,0.18181818181818182,i5d0wrx8
0.6,20230123am,02,15,6,1,0.6,350,210,0,NA,NA,0,0,0,1602,5,3.46,0.7900974453515933,0.18181818181818182,i5d0wrx8
0.6,20230123am,02,16,14,0,0.6,480,288,0,350,NA,0,0,0,1602,9,3.46,0.7900974453515933,0.18181818181818182,i5d0wrx8
0.6,20230123am,02,17,14,0,0.6,740,444,1,NA,NA,0,0,0,1602,20,3.46,0.7900974453515933,0.18181818181818182,i5d0wrx8
0.6,20230123am,02,18,14,0,0.6,910,546,1,NA,NA,1,0,170,1602,16,3.46,0.7900974453515933,0.18181818181818182,i5d0wrx8
0.6,20230123am,02,19,14,0,0.6,610,366,0,700,60,0,1,306,1602,8,3.46,0.7900974453515933,0.18181818181818182,i5d0wrx8
0.6,20230123am,02,20,14,0,0.6,500,300,0,890,294,0,1,6,1602,19,3.46,0.7900974453515933,0.18181818181818182,i5d0wrx8
0.6,20230123am,04,1,6,1,1,30,30,0,NA,NA,0,0,0,1422,3,0.935,0.7900974453515933,0.7272727272727273,bsclvqvc
0.6,20230123am,04,2,6,1,1,100,100,0,NA,NA,0,0,0,1422,4,0.935,0.7900974453515933,0.7272727272727273,bsclvqvc
0.6,20230123am,04,3,6,1,1,430,430,0,NA,NA,0,0,0,1422,7,0.935,0.7900974453515933,0.7272727272727273,bsclvqvc
0.6,20230123am,04,4,6,1,1,790,790,1,NA,NA,1,0,50,1422,2,0.935,0.7900974453515933,0.7272727272727273,bsclvqvc
0.6,20230123am,04,5,6,1,1,980,980,1,NA,NA,1,0,240,1422,11,0.935,0.7900974453515933,0.7272727272727273,bsclvqvc
0.6,20230123am,04,6,11,0,1,490,490,0,NA,NA,0,0,0,1422,10,0.935,0.7900974453515933,0.7272727272727273,bsclvqvc
0.6,20230123am,04,7,11,0,1,280,280,0,0,NA,0,0,0,1422,1,0.935,0.7900974453515933,0.7272727272727273,bsclvqvc
0.6,20230123am,04,8,11,0,1,70,70,0,69,NA,0,0,0,1422,17,0.935,0.7900974453515933,0.7272727272727273,bsclvqvc
0.6,20230123am,04,9,11,0,1,560,560,0,500,400,0,1,160,1422,14,0.935,0.7900974453515933,0.7272727272727273,bsclvqvc
0.6,20230123am,04,10,11,0,1,640,640,0,540,500,0,1,140,1422,15,0.935,0.7900974453515933,0.7272727272727273,bsclvqvc
0.6,20230123am,04,11,6,1,0.6,220,132,0,10,NA,0,0,0,1422,13,0.935,0.7900974453515933,0.7272727272727273,bsclvqvc
0.6,20230123am,04,12,6,1,0.6,320,192,0,NA,NA,0,0,0,1422,18,0.935,0.7900974453515933,0.7272727272727273,bsclvqvc
0.6,20230123am,04,13,6,1,0.6,540,324,0,NA,NA,0,0,0,1422,12,0.935,0.7900974453515933,0.7272727272727273,bsclvqvc
0.6,20230123am,04,14,6,1,0.6,770,462,1,NA,NA,1,0,30,1422,6,0.935,0.7900974453515933,0.7272727272727273,bsclvqvc
0.6,20230123am,04,15,6,1,0.6,850,510,1,NA,NA,0,0,0,1422,5,0.935,0.7900974453515933,0.7272727272727273,bsclvqvc
0.6,20230123am,04,16,11,0,0.6,160,96,0,90,NA,0,0,0,1422,9,0.935,0.7900974453515933,0.7272727272727273,bsclvqvc
0.6,20230123am,04,17,11,0,0.6,350,210,0,NA,NA,0,0,0,1422,20,0.935,0.7900974453515933,0.7272727272727273,bsclvqvc
